====================================================
UNIFIED MARKET DATA SYNC REPORT - 2026-07-14
====================================================
Execution Timestamp: 2026-07-14 15:00:41
Output Data Base:    /home/wsllinux/projects/massive_pipeline/data
Dedicated Log Dir:   /home/wsllinux/projects/massive_pipeline/logs

STOCKS SYNCHRONIZATION SUMMARY:
-------------------------------------
  Total Days Checked:  560
  Files Converted:     363
  Already Synced:      19
  Failed / Unresolved: 178

OPTIONS SYNCHRONIZATION SUMMARY:
-------------------------------------
  Total Days Checked:  560
  Files Converted:     363
  Already Synced:      19
  Failed / Unresolved: 178

DETAILED RUN CHRONOLOGY:
------------------------
Date       | Asset   | Status   | Notes
2026-05-01 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-01 | options | Success | Converted CSV.gz -> Parquet
2026-04-30 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-30 | options | Success | Converted CSV.gz -> Parquet
2026-04-29 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-29 | options | Success | Converted CSV.gz -> Parquet
2026-04-28 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-28 | options | Success | Converted CSV.gz -> Parquet
2026-04-27 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-27 | options | Success | Converted CSV.gz -> Parquet
2026-04-26 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-26 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-25 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-25 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-24 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-24 | options | Success | Converted CSV.gz -> Parquet
2026-04-23 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-23 | options | Success | Converted CSV.gz -> Parquet
2026-04-22 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-22 | options | Success | Converted CSV.gz -> Parquet
2026-04-21 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-21 | options | Success | Converted CSV.gz -> Parquet
2026-04-20 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-20 | options | Success | Converted CSV.gz -> Parquet
2026-04-19 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-19 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-18 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-18 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-17 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-17 | options | Success | Converted CSV.gz -> Parquet
2026-04-16 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-16 | options | Success | Converted CSV.gz -> Parquet
2026-04-15 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-15 | options | Success | Converted CSV.gz -> Parquet
2026-04-14 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-14 | options | Success | Converted CSV.gz -> Parquet
2026-04-13 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-13 | options | Success | Converted CSV.gz -> Parquet
2026-04-12 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-12 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-11 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-11 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-10 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-10 | options | Success | Converted CSV.gz -> Parquet
2026-04-09 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-09 | options | Success | Converted CSV.gz -> Parquet
2026-04-08 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-08 | options | Success | Converted CSV.gz -> Parquet
2026-04-07 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-07 | options | Success | Converted CSV.gz -> Parquet
2026-04-06 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-06 | options | Success | Converted CSV.gz -> Parquet
2026-04-05 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-05 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-04 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-04 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-03 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-03 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-04-02 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-02 | options | Success | Converted CSV.gz -> Parquet
2026-04-01 | stocks | Success | Converted CSV.gz -> Parquet
2026-04-01 | options | Success | Converted CSV.gz -> Parquet
2026-03-31 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-31 | options | Success | Converted CSV.gz -> Parquet
2026-03-30 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-30 | options | Success | Converted CSV.gz -> Parquet
2026-03-29 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-29 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-28 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-28 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-27 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-27 | options | Success | Converted CSV.gz -> Parquet
2026-03-26 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-26 | options | Success | Converted CSV.gz -> Parquet
2026-03-25 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-25 | options | Success | Converted CSV.gz -> Parquet
2026-03-24 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-24 | options | Success | Converted CSV.gz -> Parquet
2026-03-23 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-23 | options | Success | Converted CSV.gz -> Parquet
2026-03-22 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-22 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-21 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-21 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-20 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-20 | options | Success | Converted CSV.gz -> Parquet
2026-03-19 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-19 | options | Success | Converted CSV.gz -> Parquet
2026-03-18 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-18 | options | Success | Converted CSV.gz -> Parquet
2026-03-17 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-17 | options | Success | Converted CSV.gz -> Parquet
2026-03-16 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-16 | options | Success | Converted CSV.gz -> Parquet
2026-03-15 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-15 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-14 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-14 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-13 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-13 | options | Success | Converted CSV.gz -> Parquet
2026-03-12 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-12 | options | Success | Converted CSV.gz -> Parquet
2026-03-11 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-11 | options | Success | Converted CSV.gz -> Parquet
2026-03-10 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-10 | options | Success | Converted CSV.gz -> Parquet
2026-03-09 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-09 | options | Success | Converted CSV.gz -> Parquet
2026-03-08 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-08 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-07 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-07 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-06 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-06 | options | Success | Converted CSV.gz -> Parquet
2026-03-05 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-05 | options | Success | Converted CSV.gz -> Parquet
2026-03-04 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-04 | options | Success | Converted CSV.gz -> Parquet
2026-03-03 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-03 | options | Success | Converted CSV.gz -> Parquet
2026-03-02 | stocks | Success | Converted CSV.gz -> Parquet
2026-03-02 | options | Success | Converted CSV.gz -> Parquet
2026-03-01 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-03-01 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-28 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-28 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-27 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-27 | options | Success | Converted CSV.gz -> Parquet
2026-02-26 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-26 | options | Success | Converted CSV.gz -> Parquet
2026-02-25 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-25 | options | Success | Converted CSV.gz -> Parquet
2026-02-24 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-24 | options | Success | Converted CSV.gz -> Parquet
2026-02-23 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-23 | options | Success | Converted CSV.gz -> Parquet
2026-02-22 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-22 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-21 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-21 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-20 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-20 | options | Success | Converted CSV.gz -> Parquet
2026-02-19 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-19 | options | Success | Converted CSV.gz -> Parquet
2026-02-18 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-18 | options | Success | Converted CSV.gz -> Parquet
2026-02-17 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-17 | options | Success | Converted CSV.gz -> Parquet
2026-02-16 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-16 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-15 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-15 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-14 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-14 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-13 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-13 | options | Success | Converted CSV.gz -> Parquet
2026-02-12 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-12 | options | Success | Converted CSV.gz -> Parquet
2026-02-11 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-11 | options | Success | Converted CSV.gz -> Parquet
2026-02-10 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-10 | options | Success | Converted CSV.gz -> Parquet
2026-02-09 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-09 | options | Success | Converted CSV.gz -> Parquet
2026-02-08 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-08 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-07 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-07 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-06 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-06 | options | Success | Converted CSV.gz -> Parquet
2026-02-05 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-05 | options | Success | Converted CSV.gz -> Parquet
2026-02-04 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-04 | options | Success | Converted CSV.gz -> Parquet
2026-02-03 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-03 | options | Success | Converted CSV.gz -> Parquet
2026-02-02 | stocks | Success | Converted CSV.gz -> Parquet
2026-02-02 | options | Success | Converted CSV.gz -> Parquet
2026-02-01 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-02-01 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-31 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-31 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-30 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-30 | options | Success | Converted CSV.gz -> Parquet
2026-01-29 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-29 | options | Success | Converted CSV.gz -> Parquet
2026-01-28 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-28 | options | Success | Converted CSV.gz -> Parquet
2026-01-27 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-27 | options | Success | Converted CSV.gz -> Parquet
2026-01-26 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-26 | options | Success | Converted CSV.gz -> Parquet
2026-01-25 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-25 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-24 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-24 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-23 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-23 | options | Success | Converted CSV.gz -> Parquet
2026-01-22 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-22 | options | Success | Converted CSV.gz -> Parquet
2026-01-21 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-21 | options | Success | Converted CSV.gz -> Parquet
2026-01-20 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-20 | options | Success | Converted CSV.gz -> Parquet
2026-01-19 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-19 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-18 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-18 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-17 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-17 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-16 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-16 | options | Success | Converted CSV.gz -> Parquet
2026-01-15 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-15 | options | Success | Converted CSV.gz -> Parquet
2026-01-14 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-14 | options | Success | Converted CSV.gz -> Parquet
2026-01-13 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-13 | options | Success | Converted CSV.gz -> Parquet
2026-01-12 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-12 | options | Success | Converted CSV.gz -> Parquet
2026-01-11 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-11 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-10 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-10 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-01-09 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-09 | options | Success | Converted CSV.gz -> Parquet
2026-01-08 | stocks | Success | Converted CSV.gz -> Parquet
2026-01-08 | options | Success | Converted CSV.gz -> Parquet
