====================================================
UNIFIED MARKET DATA SYNC REPORT - 2026-07-14
====================================================
Execution Timestamp: 2026-07-14 15:00:41
Output Data Base:    /home/wsllinux/projects/massive_pipeline/data
Dedicated Log Dir:   /home/wsllinux/projects/massive_pipeline/logs

STOCKS SYNCHRONIZATION SUMMARY:
-------------------------------------
  Total Days Checked:  560
  Files Converted:     363
  Already Synced:      19
  Failed / Unresolved: 178

OPTIONS SYNCHRONIZATION SUMMARY:
-------------------------------------
  Total Days Checked:  560
  Files Converted:     363
  Already Synced:      19
  Failed / Unresolved: 178

DETAILED RUN CHRONOLOGY:
------------------------
Date       | Asset   | Status   | Notes
-----------|---------|----------|----------------------------------
2026-07-13 | stocks | Skipped | Local parquet exists.
2026-07-13 | options | Skipped | Local parquet exists.
2026-07-12 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-07-12 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-07-11 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-07-11 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-07-10 | stocks | Skipped | Local parquet exists.
2026-07-10 | options | Skipped | Local parquet exists.
2026-07-09 | stocks | Skipped | Local parquet exists.
2026-07-09 | options | Skipped | Local parquet exists.
2026-07-08 | stocks | Skipped | Local parquet exists.
2026-07-08 | options | Skipped | Local parquet exists.
2026-07-07 | stocks | Skipped | Local parquet exists.
2026-07-07 | options | Skipped | Local parquet exists.
2026-07-06 | stocks | Skipped | Local parquet exists.
2026-07-06 | options | Skipped | Local parquet exists.
2026-07-05 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-07-05 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-07-04 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-07-04 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-07-03 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-07-03 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-07-02 | stocks | Skipped | Local parquet exists.
2026-07-02 | options | Skipped | Local parquet exists.
2026-07-01 | stocks | Skipped | Local parquet exists.
2026-07-01 | options | Skipped | Local parquet exists.
2026-06-30 | stocks | Skipped | Local parquet exists.
2026-06-30 | options | Skipped | Local parquet exists.
2026-06-29 | stocks | Skipped | Local parquet exists.
2026-06-29 | options | Skipped | Local parquet exists.
2026-06-28 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-28 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-27 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-27 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-26 | stocks | Skipped | Local parquet exists.
2026-06-26 | options | Skipped | Local parquet exists.
2026-06-25 | stocks | Skipped | Local parquet exists.
2026-06-25 | options | Skipped | Local parquet exists.
2026-06-24 | stocks | Skipped | Local parquet exists.
2026-06-24 | options | Skipped | Local parquet exists.
2026-06-23 | stocks | Skipped | Local parquet exists.
2026-06-23 | options | Skipped | Local parquet exists.
2026-06-22 | stocks | Skipped | Local parquet exists.
2026-06-22 | options | Skipped | Local parquet exists.
2026-06-21 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-21 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-20 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-20 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-19 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-19 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-18 | stocks | Skipped | Local parquet exists.
2026-06-18 | options | Skipped | Local parquet exists.
2026-06-17 | stocks | Skipped | Local parquet exists.
2026-06-17 | options | Skipped | Local parquet exists.
2026-06-16 | stocks | Skipped | Local parquet exists.
2026-06-16 | options | Skipped | Local parquet exists.
2026-06-15 | stocks | Skipped | Local parquet exists.
2026-06-15 | options | Skipped | Local parquet exists.
2026-06-14 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-14 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-13 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-13 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-12 | stocks | Success | Converted CSV.gz -> Parquet
2026-06-12 | options | Success | Converted CSV.gz -> Parquet
2026-06-11 | stocks | Success | Converted CSV.gz -> Parquet
2026-06-11 | options | Success | Converted CSV.gz -> Parquet
2026-06-10 | stocks | Success | Converted CSV.gz -> Parquet
2026-06-10 | options | Success | Converted CSV.gz -> Parquet
2026-06-09 | stocks | Success | Converted CSV.gz -> Parquet
2026-06-09 | options | Success | Converted CSV.gz -> Parquet
2026-06-08 | stocks | Success | Converted CSV.gz -> Parquet
2026-06-08 | options | Success | Converted CSV.gz -> Parquet
2026-06-07 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-07 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-06 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-06 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-06-05 | stocks | Success | Converted CSV.gz -> Parquet
2026-06-05 | options | Success | Converted CSV.gz -> Parquet
2026-06-04 | stocks | Success | Converted CSV.gz -> Parquet
2026-06-04 | options | Success | Converted CSV.gz -> Parquet
2026-06-03 | stocks | Success | Converted CSV.gz -> Parquet
2026-06-03 | options | Success | Converted CSV.gz -> Parquet
2026-06-02 | stocks | Success | Converted CSV.gz -> Parquet
2026-06-02 | options | Success | Converted CSV.gz -> Parquet
2026-06-01 | stocks | Success | Converted CSV.gz -> Parquet
2026-06-01 | options | Success | Converted CSV.gz -> Parquet
2026-05-31 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-31 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-30 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-30 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-29 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-29 | options | Success | Converted CSV.gz -> Parquet
2026-05-28 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-28 | options | Success | Converted CSV.gz -> Parquet
2026-05-27 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-27 | options | Success | Converted CSV.gz -> Parquet
2026-05-26 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-26 | options | Success | Converted CSV.gz -> Parquet
2026-05-25 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-25 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-24 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-24 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-23 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-23 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-22 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-22 | options | Success | Converted CSV.gz -> Parquet
2026-05-21 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-21 | options | Success | Converted CSV.gz -> Parquet
2026-05-20 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-20 | options | Success | Converted CSV.gz -> Parquet
2026-05-19 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-19 | options | Success | Converted CSV.gz -> Parquet
2026-05-18 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-18 | options | Success | Converted CSV.gz -> Parquet
2026-05-17 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-17 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-16 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-16 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-15 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-15 | options | Success | Converted CSV.gz -> Parquet
2026-05-14 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-14 | options | Success | Converted CSV.gz -> Parquet
2026-05-13 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-13 | options | Success | Converted CSV.gz -> Parquet
2026-05-12 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-12 | options | Success | Converted CSV.gz -> Parquet
2026-05-11 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-11 | options | Success | Converted CSV.gz -> Parquet
2026-05-10 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-10 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-09 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-09 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-08 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-08 | options | Success | Converted CSV.gz -> Parquet
2026-05-07 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-07 | options | Success | Converted CSV.gz -> Parquet
2026-05-06 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-06 | options | Success | Converted CSV.gz -> Parquet
2026-05-05 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-05 | options | Success | Converted CSV.gz -> Parquet
2026-05-04 | stocks | Success | Converted CSV.gz -> Parquet
2026-05-04 | options | Success | Converted CSV.gz -> Parquet
2026-05-03 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-03 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-02 | stocks | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
2026-05-02 | options | Error | S3 Client Error: An error occurred (NoSuchKey) when calling the GetObject operation: None
